timestamp,high,low,open,volumeFrom,volumeTo,close
1473033600,543.65,535.01,542,5043.41,2726239.11,542.18
1473120000,547.98,537.46,542.18,4998,2716763.93,542.75
1473206400,548.04,537.98,542.75,4557.28,2478540.67,547.18
1473292800,558.5,544.37,547.18,6677.6,3698199.88,556.03
1473379200,557.87,548.58,556.03,4681.93,2594377.51,554.62
1473465600,557.94,553.41,554.62,2321.72,1291362.95,556.53
1473552000,561.93,526,556.53,6287.53,3420675.81,539.56
1473638400,544.44,537.52,539.56,4134.59,2239151.52,541.3
1473724800,547.05,539.92,541.3,5615.03,3053631.76,544.45
1473811200,546.82,541.61,544.45,4064.18,2216271.98,544
1473897600,545.66,539.27,544,4479.98,2431848.73,541.64
1473984000,544.97,539.64,541.64,5115.52,2781485.42,544.21
1474070400,544.72,541.38,544.21,2367.8,1287892.75,542.79
1474156800,545.83,541.47,542.79,3009.4,1639298.98,545.16
1474243200,546.71,542.39,545.16,4491.36,2445993.25,543.91
1474329600,545.93,541.89,543.91,5343.16,2911632.16,544.62
1474416000,544.8,522.94,544.62,7445.66,3990767.87,533.97
1474502400,534.6,528.59,533.97,5260.89,2799379.53,531.3
1474588800,538.47,529.65,531.3,4973.17,2663536.26,537.9
1474675200,541.03,536.32,537.9,2235.98,1208303.95,539.34
1474761600,539.61,534.01,539.34,2004.29,1078131.18,536.01
1474848000,543.54,534.56,536.01,4862.72,2630370.44,541.3
1474934400,545.97,539.05,541.3,5302.73,2874231.58,542.14
1475020800,555.5,539.1,542.14,5132.83,2804151.93,541.75
1475107200,544.89,539.18,541.75,5230.82,2838199.05,540.34
1475193600,547.14,539.58,540.34,5227.98,2842567.88,545.3
1475280000,553.15,545.2,545.3,4165.3,2287592.12,549.89
1475366400,550.88,543.6,549.89,2396.64,1312799.52,545.72
1475452800,549.58,543.17,545.72,3842.63,2107625.72,546.9
1475539200,548.72,543.84,546.9,5219.46,2859022.33,546.71
1475625600,552.38,544.2,546.71,5197.9,2856930.26,549.96
1475712000,553.4,547.33,549.96,4945.54,2722208.21,550.68
1475798400,560.31,549.06,550.68,5267.26,2931986.24,556.12
1475884800,559.25,552.37,556.12,2560.58,1426680.94,555.59
1475971200,556.44,551.97,555.59,1931.51,1071120,552.88
1476057600,558.55,550.94,552.88,4938.98,2747988.66,556.09
1476144000,585.48,555.11,556.09,9195.97,5273278.89,582.24
1476230400,584.26,574.61,582.24,6157.94,3571584.24,579.33
1476316800,580.68,572.87,579.33,5078.85,2936119.95,574.85
1476403200,585.78,573.66,574.85,6631.96,3848706.2,583.05
1476489600,587.88,579.11,583.05,3197.34,1872030.33,582.64
1476576000,587.43,581.94,582.64,2634.65,1542235.56,585.22
1476662400,586,580.14,585.22,4720.68,2754431.2,581.18
1476748800,585.63,578.38,581.18,6348.65,3696936.65,582.04
1476835200,583.5,572.14,582.04,6222.29,3602166.08,576.29
1476921600,581.72,573.6,576.29,5399.09,3120202.61,579.09
1477008000,584.09,578.39,579.09,4285.01,2494039.77,582.17
1477094400,609.61,580.9,582.17,7673.8,4573597.6,601.69
1477180800,605.64,597.13,601.69,3379.99,2033882.6,599.9
1477267200,602.21,596.05,599.9,5888.02,3529709.07,600.17
1477353600,613.94,599.19,600.17,7230.89,4373941.97,601.59
1477440000,625.69,600.89,601.59,8071.46,4960352.55,620.56
1477526400,634.7,619.26,620.56,8433.77,5298580.95,628.72
1477612800,633.9,626.02,628.72,6427.51,4054297.08,628.12
1477699200,650.63,627.84,628.12,8845.5,5673873,645.13
1477785600,646.63,626.56,645.13,5254.95,3336322.88,628.48
1477872000,646.07,617.93,628.48,7617.38,4857922.4,634.14
1477958400,666.04,633.77,634.14,9249.14,6065544.05,658.54
1478044800,664.35,647.93,658.54,6865.69,4487720.87,662.53
1478131200,672.53,605.18,662.53,19042.07,12196417.68,618.44
1478217600,639.54,614.64,618.44,9040.71,5700406.61,632.02
1478304000,635.9,623.06,632.02,3523.62,2225352.99,631.84
1478390400,643.77,626.2,631.84,4784.49,3049093.11,639.95
1478476800,641.74,630.49,639.95,5338.88,3392884.29,637.74
1478563200,649.29,632.77,637.74,7819.83,5018837.75,646.54
1478649600,668.87,638.95,646.54,14447.09,9505746.27,661.01
1478736000,662.25,651.06,661.01,5984.16,3923385.45,657.8
1478822400,665.08,653.98,657.8,6011.79,3971478.22,660.61
1478908800,662.09,644.04,660.61,5047.17,3290031.68,647.53
1478995200,649.49,629.19,647.53,6357.91,4068059.82,647.24
1479081600,661.12,647.27,647.24,8709.32,5709377.31,657.94
1479168000,670.19,654.55,657.94,9076.57,6021954.83,663.66
1479254400,698.96,661.61,663.66,15456.9,10525800.71,694.09
1479340800,703.2,682.27,694.09,9286.94,6461101.59,694.2
1479427200,710.92,686.76,694.2,7689.72,5404566.29,704.57
1479513600,716.75,696.45,704.57,4101.93,2905592.42,708.45
1479600000,711.47,671.76,708.45,8558.88,5920868.09,688.2
1479686400,701.71,684.83,688.2,6334.6,4393353.71,694.84
1479772800,713.55,690.35,694.84,8667.22,6099496.02,707.35
1479859200,710.14,696.12,707.35,9158.54,6443890.68,705.33
1479945600,706.94,693.63,705.33,7118.69,4992639.55,700.76
1480032000,702.8,692.46,700.76,5508.16,3847574.77,701.9
1480118400,703.63,688.09,701.9,4320.77,3010705.4,696.55
1480204800,701.02,690.16,696.55,2810.46,1958953.53,693.33
1480291200,699.68,690.33,693.33,5607.99,3901635.43,695.09
1480377600,697.54,690.85,695.09,5371.08,3735943.36,691.61
1480464000,706.63,692.38,691.61,7470.67,5237014.01,703.65
1480550400,715.82,703.62,703.65,8859.24,6292816.86,709.97
1480636800,737.14,707.94,709.97,10574.12,7663830.41,730.59
1480723200,758.41,720.49,730.59,6534.92,4800747.05,727.75
1480809600,733.48,719.16,727.75,4044.81,2934927.51,732.25
1480896000,747.42,701.04,732.25,15681.63,11391139.29,714.7
1480982400,721.8,706.48,714.7,7717.64,5527420.29,717.94
1481068800,727.53,715.06,717.94,6756.14,4878424.51,722.18
1481155200,733.28,714.46,722.18,9501.29,6891300.3,730.17
1481241600,737.25,726.17,730.17,5463.78,4005914.42,734.11
1481328000,738.59,732.28,734.11,3750.67,2764324.01,736.74
1481414400,749.58,736.02,736.74,6689.98,4966284.84,740.66
1481500800,745.39,731.78,740.66,6912.45,5116092.27,739.27
1481587200,745.74,728.85,739.27,7523.48,5544698.44,740.04
1481673600,741.15,731.87,740.04,6264.59,4623534.14,739.26
1481760000,750.74,738.21,739.26,7693.34,5740600.41,747.91
1481846400,756.11,745.98,747.91,5831.07,4381430.08,752.86
1481932800,762.23,751.96,752.86,5073.13,3851824.72,760.05
1482019200,761.22,752.7,760.05,2752.89,2090745.63,759.18
1482105600,765.36,757.35,759.18,5695.75,4344124.84,764.64
1482192000,777.17,761.77,764.64,9060.95,6967560.92,776.29
1482278400,799.44,773.81,776.29,16542.26,13051637.31,796.26
1482364800,840.06,795.29,796.26,18358.67,15126919.7,825.53
1482451200,887.4,824.75,825.53,22586.44,19453695.86,881.88
1482537600,888.1,846.37,881.88,8741.59,7557592.08,855.02
1482624000,861.38,811.76,855.02,10167.56,8500556.82,858.6
1482710400,873.82,849.61,858.6,6179.67,5332029.55,863.07
1482796800,900.26,856.56,863.07,10142.91,8986017.38,888.46
1482883200,939.56,887.47,888.46,18058.56,16601048.66,936.44
1482969600,940.58,907.56,936.44,10956.84,10167618.14,930.84
1483056000,931.57,880.38,930.84,13658,12362688.65,913.45
1483142400,919.59,895.8,913.45,4596.31,4183765.46,913.7
1483228800,953.44,908.64,913.7,8156.02,7639127.85,946.47
1483315200,984.36,944.35,946.47,15864,15365157.45,973.48
1483401600,991.49,960.64,973.48,11130.02,10875964.28,990.37
1483488000,1086.8,985.99,990.37,33841.56,35292705.58,1073.81
1483574400,1088.26,887.04,1073.81,57597.09,55741168.1,941.38
1483660800,975.78,829.3,941.38,40354.86,35311759.35,846.85
1483747200,861.88,773.32,846.85,28968.35,23820789.51,854.12
1483833600,890.93,844.85,854.12,16472.26,14300259.34,866.14
1483920000,868.87,831.99,866.14,12374.58,10561675.75,859.78
1484006400,873.09,853.27,859.78,8551.89,7391573.08,866.43
1484092800,874.86,736.75,866.43,41574.06,32876946.22,750.87
1484179200,789.58,713.08,750.87,25932.49,19341618.9,771.5
1484265600,790.1,736.32,771.5,16454.33,12608006.37,781.57
1484352000,796.25,764.38,781.57,7765.49,6082013.96,770.39
1484438400,782.89,764.98,770.39,4561.75,3529405.95,777.51
1484524800,797.47,771.02,777.51,9420.82,7411972.52,789.56
1484611200,859.37,788.84,789.56,16955.15,14149096.49,855.16
1484697600,859.87,803.57,855.16,15093.84,12497688.98,827.91
1484784000,855.22,827.23,827.91,10748.37,9089824.71,843.65
1484870400,849.98,831.18,843.65,6471.47,5454305.71,841.11
1484956800,871.47,838.86,841.11,6788.53,5846100.19,864.59
1485043200,879.98,837.63,864.59,10598.67,9129064.83,862.01
1485129600,873.07,853.37,862.01,5804.51,5014566.58,862.57
1485216000,865.81,831.48,862.57,13145.93,11143138.45,838.05
1485302400,845.08,830.09,838.05,6421.52,5384174.56,836.72
1485388800,863.33,834.38,836.72,6882.13,5856605.73,859.85
1485475200,869.72,852.68,859.85,5663.98,4880626.12,860.77
1485561600,866.1,858.89,860.77,2443.03,2109179.81,861.51
1485648000,864.26,853.88,861.51,2805.7,2414501.43,856.49
1485734400,866.66,849.83,856.49,6135.92,5283812.46,861.99
1485820800,901.77,859.42,861.99,11437.87,10123577.86,900.53
1485907200,919.8,895.89,900.53,10126,9193897.28,918.95
1485993600,942.85,908.44,918.95,9709.43,8972990.89,938.11
1486080000,956.8,924.46,938.11,13153.95,12398958.82,942.19
1486166400,967.01,933.18,942.19,8127.14,7729779.35,959.79
1486252800,961.15,935.41,959.79,6311.2,5972277,943.85
1486339200,959.84,940.34,943.85,6129.54,5850192.2,953.77
1486425600,990.02,952.71,953.77,10558.22,10322133.22,987.91
1486512000,1000.42,962.04,987.91,14028.92,13803917.66,990.85
1486598400,1007.19,854.43,990.85,32128.72,29977810.55,921.34
1486684800,949.11,887.66,921.34,15053.89,13812610.92,940.8
1486771200,957.13,934.46,940.8,5442.29,5170513.57,950.4
1486857600,953.59,940.81,950.4,3606.06,3413885.51,945.91
1486944000,950.53,919.25,945.91,7576.12,7112733.55,944.51
1487030400,964.4,936.32,944.51,9596.38,9157200.82,957.38
1487116800,965.24,951.81,957.38,5462.72,5240902.21,958.91
1487203200,987.9,958.28,958.91,8093.47,7885757.36,979.32
